"","rho","diff.2.5","diff.25","diff.50","diff.75","diff.97.5"
"1",0.02,-0.00867537247808832,-0.00164079549998074,-0.00025300005057699,0.000381863430009496,0.00420287217499325
"2",0.03,-0.00937966894162791,-0.00182978028188223,-0.000328162687990491,0.000520492950050758,0.00446339193470579
"3",0.04,-0.00874191873479105,-0.00176281988272299,-0.000189153945861525,0.000518744263801788,0.00386626479892756
"4",0.05,-0.00965741709127133,-0.00216646093433576,-0.000277475880232025,0.000523281952431245,0.00387859234171579
"5",0.06,-0.0102724978742788,-0.00204087443780326,-0.000319600726870484,0.000347204869460493,0.00433740330061428
"6",0.07,-0.010872534767448,-0.0026827763836275,-0.000543318617609506,0.00033411976479325,0.00422581637875415
"7",0.08,-0.0116221508804782,-0.00262874295079679,-0.000472788075358499,0.000334939527758732,0.00425520595267394
"8",0.09,-0.0147573653055415,-0.00303241790906747,-0.000613737655893509,0.000307992989448752,0.00458294262302312
"9",0.1,-0.0136474504728564,-0.00372764290909529,-0.000733254833112013,0.000273328047485727,0.0047423820695365
"10",0.11,-0.013017550126771,-0.00396484921925901,-0.000816511996393543,0.000343296809669241,0.004578773845708
"11",0.12,-0.0164408983067711,-0.00407526016788552,-0.000933604459815524,0.000290590120049228,0.00552191420978311
"12",0.13,-0.0157101492165334,-0.00516619050894047,-0.001379848086946,4.18294126959817e-05,0.00568583947188213
"13",0.14,-0.0173224441309624,-0.0049261238580405,-0.00144380374710601,0.000250000402239783,0.0069892129417048
"14",0.15,-0.0183977659114384,-0.00589229742167674,-0.0017441642087985,0.0001185281087,0.00556936684695606
"15",0.16,-0.0223706085440428,-0.00659511874057224,-0.0023216574665775,0.000141767195568479,0.00621518329787264
"16",0.17,-0.0233375240573765,-0.00701481722169152,-0.00253370451985852,0.000148602906172496,0.00616159391721055
"17",0.18,-0.0242749572859551,-0.0078225727001735,-0.00257868484301749,8.3921451962482e-05,0.00696694977928454
"18",0.19,-0.0255619664358928,-0.00879179002833951,-0.00312931471450048,8.23448589025444e-06,0.0059272463412806
"19",0.2,-0.0238978862854612,-0.00926797399530774,-0.0033734234223175,-0.000152189778296757,0.00609657529739922
"20",0.21,-0.0268421534801472,-0.00978637789482249,-0.00399508048678798,-0.000170344836651778,0.00849814307789234
"21",0.22,-0.025972625181597,-0.010939947676152,-0.00471042862975152,-0.000236242843365278,0.00749561555018894
"22",0.23,-0.0303747316956018,-0.0120157547346587,-0.00560462084706401,-0.000809908396464235,0.00796099298851263
"23",0.24,-0.0320454683549965,-0.0119771523551307,-0.00544375808028452,-0.000233984366038997,0.00780655993838066
"24",0.25,-0.0308000961948407,-0.0139699348197085,-0.00645125160645599,-0.000900225213710762,0.00904665411786604
"25",0.26,-0.0315134067443674,-0.014671015695105,-0.00698671340752349,-0.0016531025391455,0.00919666195636576
"26",0.27,-0.0360331275169633,-0.014526116448739,-0.00748940882715302,-0.00123944420436398,0.0100304596106329
"27",0.28,-0.0365423859663567,-0.0163800091231408,-0.00790212681328553,-0.00181731041670373,0.00891320708770054
"28",0.29,-0.0378767904602922,-0.017608604469105,-0.00902521414173502,-0.00229701586638424,0.0114516136206187
"29",0.3,-0.0385548366233578,-0.0181190547175128,-0.0101805357011505,-0.00298595634514823,0.0104054868164731
